Дата и время      	Тип события	Описание
18.07.2020 6:49:11	Аудит      	Устройство "157.Приэльбрусье - Центральный вход" сервера "KBSU-AXXON-5": Тревога классифицирована как подозрительная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:49:07	Аудит      	Тревога оценена на устройстве "157.Приэльбрусье - Центральный вход" сервера "KBSU-AXXON-5" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:49:07	Аудит      	Просмотр камеры "157.Приэльбрусье - Центральный вход" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:49:07	Аудит      	Устройство "109.МедКолледж новый - корпус №3" сервера "KBSU-AXXON-5": Тревога классифицирована как подозрительная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:49:07	Аудит      	Тревога оценена на устройстве "109.МедКолледж новый - корпус №3" сервера "KBSU-AXXON-5" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:49:07	Аудит      	Просмотр камеры "109.МедКолледж новый - корпус №3" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:49:07	Аудит      	Устройство "164.Общежитие №7" сервера "KBSU-AXXON-5": Тревога классифицирована как подозрительная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:49:06	Аудит      	Тревога оценена на устройстве "164.Общежитие №7" сервера "KBSU-AXXON-5" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:49:06	Аудит      	Просмотр камеры "164.Общежитие №7" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:49:06	Аудит      	Устройство "62.Гл.корпус - 1 этаж холл часть 3" сервера "KBGU-AXXON-1": Тревога классифицирована как подозрительная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:49:05	Аудит      	Тревога оценена на устройстве "62.Гл.корпус - 1 этаж холл часть 3" сервера "KBGU-AXXON-1" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:49:05	Аудит      	Просмотр камеры "62.Гл.корпус - 1 этаж холл часть 3" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:49:05	Аудит      	Устройство "59.Гл.корпус -1 этаж холл часть 2" сервера "KBGU-AXXON-1": Тревога классифицирована как подозрительная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:49:05	Аудит      	Тревога оценена на устройстве "59.Гл.корпус -1 этаж холл часть 2" сервера "KBGU-AXXON-1" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:48:47	Аудит      	Просмотр камеры "59.Гл.корпус -1 этаж холл часть 2" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:48:32	Аудит      	Устройство "165.ИТФ - модуль аллея" сервера "KBGU-AXXON-3": Тревога классифицирована как подозрительная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:48:31	Аудит      	Тревога оценена на устройстве "165.ИТФ - модуль аллея" сервера "KBGU-AXXON-3" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:48:31	Аудит      	Просмотр камеры "165.ИТФ - модуль аллея" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:48:31	Аудит      	Устройство "60.Гл.корпус - Вход" сервера "KBGU-AXXON-1": Тревога классифицирована как подозрительная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:48:31	Аудит      	Тревога оценена на устройстве "60.Гл.корпус - Вход" сервера "KBGU-AXXON-1" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:48:31	Аудит      	Просмотр камеры "60.Гл.корпус - Вход" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:48:31	Аудит      	Устройство "155.Общежитие №13- Задний двор" сервера "KBSU-AXXON-5": Тревога классифицирована как подозрительная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:48:30	Аудит      	Тревога оценена на устройстве "155.Общежитие №13- Задний двор" сервера "KBSU-AXXON-5" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:48:30	Аудит      	Просмотр камеры "155.Общежитие №13- Задний двор" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:48:30	Аудит      	Устройство "28.Общежитие №7 - задний двор 2" сервера "KBGU-AXXON-1": Тревога классифицирована как подозрительная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:48:30	Аудит      	Тревога оценена на устройстве "28.Общежитие №7 - задний двор 2" сервера "KBGU-AXXON-1" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:48:30	Аудит      	Просмотр камеры "28.Общежитие №7 - задний двор 2" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:48:29	Аудит      	Устройство "159.Приэльбрусье - стоянка" сервера "KBGU-AXXON-2": Тревога классифицирована как подозрительная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:48:29	Аудит      	Тревога оценена на устройстве "159.Приэльбрусье - стоянка" сервера "KBGU-AXXON-2" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:48:29	Аудит      	Просмотр камеры "159.Приэльбрусье - стоянка" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:48:28	Аудит      	Устройство "133.Общ. №10 - Вход (правая часть)" сервера "KBSU-AXXON-5": Тревога классифицирована как подозрительная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:48:28	Аудит      	Тревога оценена на устройстве "133.Общ. №10 - Вход (правая часть)" сервера "KBSU-AXXON-5" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:48:28	Аудит      	Просмотр камеры "133.Общ. №10 - Вход (правая часть)" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:48:26	Аудит      	Устройство "22.МедКолледж новый - СКУД" сервера "KBGU-AXXON-1": Тревога классифицирована как подозрительная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:48:26	Аудит      	Тревога оценена на устройстве "22.МедКолледж новый - СКУД" сервера "KBGU-AXXON-1" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:48:26	Аудит      	Просмотр камеры "22.МедКолледж новый - СКУД" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:48:25	Аудит      	Устройство "135.Общежитие №4 - Вход (левая часть)" сервера "KBGU-AXXON-1": Тревога классифицирована как подозрительная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:48:25	Аудит      	Тревога оценена на устройстве "135.Общежитие №4 - Вход (левая часть)" сервера "KBGU-AXXON-1" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:48:25	Аудит      	Просмотр камеры "135.Общежитие №4 - Вход (левая часть)" пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
18.07.2020 6:48:23	Аудит      	Устройство "61.Гл.корпус - 1 этаж холл часть " сервера "KBGU-AXXON-1": Тревога классифицирована как подозрительная пользователем "Оператор"/"Murat" с IP-адреса "192.168.1.69"
